ID,date,visitNumber,Channel
0,20170502,1,6
1,20170502,4,6
2,20170502,3,6
3,20170502,6,6
4,20170502,4,6
5,20170502,4,6
6,20170502,5,6
7,20170526,2,6
8,20170526,2,6
9,20170517,2,6
10,20170517,2,6
11,20170517,5,6
12,20170527,1,6
13,20170527,2,6
14,20170514,4,6
15,20170514,3,6
16,20170514,3,6
17,20170510,4,6
18,20170510,1,6
19,20170510,2,6
20,20170510,4,6
21,20170510,2,6
22,20170520,3,6
23,20170520,2,6
24,20170520,96,6
25,20170507,1,6
26,20170507,2,6
27,20170523,1,6
28,20170523,2,6
29,20170523,3,6
30,20170521,2,6
31,20170521,4,6
32,20170516,1,6
33,20170516,5,6
34,20170516,3,6
35,20170518,2,6
36,20170518,2,6
37,20170512,1,6
38,20170505,2,6
39,20170505,3,7
40,20170505,1,6
41,20170508,3,6
42,20170501,1,6
43,20170501,2,6
44,20170501,1,6
45,20170503,4,6
46,20170503,2,6
47,20170503,1,6
48,20170503,1,6
49,20170515,17,6
50,20170515,3,6
51,20170515,3,6
52,20170515,2,6
53,20170515,2,6
54,20170515,4,6
55,20170515,2,6
56,20170530,3,6
57,20170530,2,6
58,20170530,2,6
59,20170530,4,6
60,20170511,1,6
61,20170511,2,6
62,20170511,2,6
63,20170511,4,6
64,20170525,1,6
65,20170525,2,6
66,20170525,2,6
67,20170525,2,6
68,20170525,2,6
69,20170522,1,6
70,20170522,2,6
71,20170522,2,6
72,20170504,6,6
73,20170504,3,6
74,20170504,1,6
75,20170504,1,6
76,20170524,6,6
77,20170524,2,6
78,20170509,1,6
79,20170509,1,6
80,20170519,3,6
81,20170519,3,6
82,20170519,3,6
83,20170519,2,6
84,20170502,1,6
85,20170502,3,6
86,20170502,2,6
87,20170502,2,6
88,20170526,1,6
89,20170517,1,6
90,20170517,2,6
91,20170517,1,6
92,20170517,3,6
93,20170517,4,6
94,20170517,2,6
95,20170527,2,6
96,20170514,2,6
97,20170514,2,6
98,20170510,2,6
99,20170510,1,6
100,20170510,2,6
101,20170510,3,6
102,20170520,4,6
103,20170520,3,6
104,20170507,1,6
105,20170507,3,6
106,20170523,2,6
107,20170523,2,6
108,20170523,1,6
109,20170521,2,6
110,20170513,2,6
111,20170513,2,6
112,20170516,2,6
113,20170516,1,6
114,20170516,4,6
115,20170518,2,6
116,20170518,1,6
117,20170518,2,6
118,20170518,4,6
119,20170518,2,6
120,20170518,3,6
121,20170518,2,6
122,20170518,4,6
123,20170529,8,6
124,20170529,2,6
125,20170505,3,6
126,20170505,2,6
127,20170505,6,7
128,20170508,1,6
129,20170508,4,6
130,20170508,3,6
131,20170501,2,6
132,20170501,1,6
133,20170503,1,6
134,20170503,1,6
135,20170503,4,6
136,20170515,3,6
137,20170515,2,6
