ID,date,visitNumber,Channel,Conversion
0,20170502,1,6,1
1,20170502,4,6,0
2,20170502,3,6,0
3,20170502,6,6,0
4,20170502,4,6,0
5,20170502,4,6,0
6,20170502,5,6,0
7,20170526,2,6,0
8,20170526,2,6,0
9,20170517,2,6,0
10,20170517,2,6,0
11,20170517,5,6,0
12,20170527,1,6,0
13,20170527,2,6,0
14,20170514,4,6,0
15,20170514,3,6,0
16,20170514,3,6,0
17,20170510,4,6,0
18,20170510,1,6,0
19,20170510,2,6,0
20,20170510,4,6,0
21,20170510,2,6,0
22,20170520,3,6,0
23,20170520,2,6,0
24,20170520,96,6,0
25,20170507,1,6,0
26,20170507,2,6,0
27,20170523,1,6,0
28,20170523,2,6,0
29,20170523,3,6,0
30,20170521,2,6,0
31,20170521,4,6,0
32,20170516,1,6,0
33,20170516,5,6,0
34,20170516,3,6,0
35,20170518,2,6,0
36,20170518,2,6,0
37,20170512,1,6,0
38,20170505,2,6,0
39,20170505,3,7,0
40,20170505,1,6,0
41,20170508,3,6,0
42,20170501,1,6,0
43,20170501,2,6,0
44,20170501,1,6,0
45,20170503,4,6,0
46,20170503,2,6,0
47,20170503,1,6,0
48,20170503,1,6,0
49,20170515,17,6,0
50,20170515,3,6,0
51,20170515,3,6,0
52,20170515,2,6,0
53,20170515,2,6,0
54,20170515,4,6,0
55,20170515,2,6,0
56,20170530,3,6,0
57,20170530,2,6,0
58,20170530,2,6,0
59,20170530,4,6,0
60,20170511,1,6,0
61,20170511,2,6,0
62,20170511,2,6,0
63,20170511,4,6,0
64,20170525,1,6,0
65,20170525,2,6,0
66,20170525,2,6,0
67,20170525,2,6,0
68,20170525,2,6,0
69,20170522,1,6,0
70,20170522,2,6,0
71,20170522,2,6,0
72,20170504,6,6,0
73,20170504,3,6,0
74,20170504,1,6,0
75,20170504,1,6,0
76,20170524,6,6,0
77,20170524,2,6,0
78,20170509,1,6,0
79,20170509,1,6,0
80,20170519,3,6,0
81,20170519,3,6,0
82,20170519,3,6,0
83,20170519,2,6,0
84,20170502,1,6,0
85,20170502,3,6,0
86,20170502,2,6,0
87,20170502,2,6,0
88,20170526,1,6,0
89,20170517,1,6,0
90,20170517,2,6,0
91,20170517,1,6,0
92,20170517,3,6,0
93,20170517,4,6,0
94,20170517,2,6,0
95,20170527,2,6,0
96,20170514,2,6,0
97,20170514,2,6,0
98,20170510,2,6,0
99,20170510,1,6,0
100,20170510,2,6,0
101,20170510,3,6,0
102,20170520,4,6,0
103,20170520,3,6,0
104,20170507,1,6,0
105,20170507,3,6,0
106,20170523,2,6,0
107,20170523,2,6,0
108,20170523,1,6,0
109,20170521,2,6,0
110,20170513,2,6,0
111,20170513,2,6,0
112,20170516,2,6,0
113,20170516,1,6,0
114,20170516,4,6,0
115,20170518,2,6,0
116,20170518,1,6,0
117,20170518,2,6,0
118,20170518,4,6,0
119,20170518,2,6,0
120,20170518,3,6,0
121,20170518,2,6,0
122,20170518,4,6,0
123,20170529,8,6,0
124,20170529,2,6,0
125,20170505,3,6,0
126,20170505,2,6,0
127,20170505,6,7,0
128,20170508,1,6,0
129,20170508,4,6,0
130,20170508,3,6,0
131,20170501,2,6,0
132,20170501,1,6,0
133,20170503,1,6,0
134,20170503,1,6,0
135,20170503,4,6,0
136,20170515,3,6,0
137,20170515,2,6,0
138,20170515,1,6,0
139,20170506,3,6,0
140,20170506,6,6,0
141,20170506,1,6,0
142,20170530,12,6,0
143,20170530,1,6,0
144,20170530,3,6,0
145,20170530,1,6,0
146,20170511,2,6,0
147,20170511,1,6,0
148,20170525,2,6,0
149,20170525,1,6,0
150,20170525,1,6,0
151,20170525,1,6,0
152,20170528,5,6,0
153,20170528,2,6,0
154,20170528,3,6,0
155,20170528,2,6,0
156,20170522,2,6,0
157,20170522,2,6,0
158,20170522,1,6,0
159,20170504,1,6,0
160,20170504,1,6,0
161,20170504,8,6,0
162,20170504,2,6,0
163,20170504,2,6,0
164,20170504,3,6,0
165,20170504,2,6,0
166,20170524,2,6,0
167,20170524,1,6,0
168,20170524,1,6,0
169,20170524,3,6,0
170,20170524,1,6,0
171,20170524,1,6,0
172,20170524,3,6,0
173,20170509,4,6,0
174,20170509,2,6,0
175,20170509,1,6,1
176,20170509,1,6,0
177,20170509,3,6,0
178,20170509,2,6,0
179,20170519,2,6,0
180,20170519,2,6,0
181,20170519,2,6,0
182,20170519,3,6,0
183,20170502,34,6,0
184,20170502,2,6,0
185,20170502,3,6,0
186,20170502,2,6,0
187,20170502,3,6,0
188,20170526,4,6,0
189,20170526,1,6,0
190,20170517,18,6,0
191,20170517,3,6,0
192,20170527,2,6,0
193,20170527,3,6,0
194,20170527,2,6,0
195,20170527,3,6,0
196,20170514,2,6,0
197,20170514,2,6,0
198,20170514,1,6,0
199,20170510,1,6,0
200,20170510,3,6,0
201,20170510,1,6,0
202,20170510,2,6,0
203,20170520,3,6,0
204,20170520,2,6,0
205,20170520,4,6,0
206,20170507,2,6,0
207,20170523,1,6,0
208,20170523,2,6,0
209,20170523,7,6,1
210,20170521,2,6,0
211,20170521,3,6,0
212,20170521,2,6,0
213,20170521,2,6,0
214,20170521,3,6,0
215,20170513,4,6,0
216,20170516,2,6,0
217,20170516,1,6,0
218,20170516,1,6,0
219,20170516,1,6,0
220,20170516,5,6,0
221,20170516,1,6,0
222,20170516,1,6,0
223,20170516,3,6,0
224,20170516,3,6,0
225,20170516,4,6,0
226,20170518,1,6,0
227,20170518,2,6,0
228,20170518,1,6,0
229,20170512,2,6,0
230,20170512,2,6,0
231,20170512,4,6,0
232,20170512,5,6,0
233,20170505,2,6,0
234,20170505,2,6,0
235,20170505,3,6,0
236,20170505,4,6,0
237,20170505,2,6,1
238,20170501,2,6,0
239,20170501,3,6,0
240,20170501,4,6,0
241,20170501,2,6,0
242,20170501,1,6,0
243,20170503,3,6,0
244,20170503,4,6,0
245,20170503,1,6,0
246,20170503,1,6,0
247,20170503,30,6,0
248,20170503,2,6,0
249,20170503,1,6,0
250,20170515,1,6,0
251,20170515,3,6,0
252,20170515,1,6,0
253,20170506,2,6,0
254,20170506,7,6,0
255,20170506,2,6,0
256,20170506,9,6,0
257,20170530,4,6,0
258,20170530,2,6,0
259,20170511,1,6,0
260,20170511,2,6,0
261,20170511,2,6,0
262,20170511,2,6,0
263,20170511,2,6,0
264,20170525,1,6,0
265,20170525,2,6,0
266,20170525,3,6,0
267,20170528,2,6,0
268,20170522,1,6,0
269,20170504,2,6,0
270,20170504,2,6,0
271,20170504,2,6,0
272,20170524,1,6,0
273,20170524,2,6,0
274,20170524,26,6,0
275,20170524,5,6,0
276,20170524,4,6,0
277,20170524,3,6,0
278,20170509,2,6,0
279,20170509,3,6,0
280,20170519,1,6,0
281,20170519,2,6,0
282,20170519,2,6,0
283,20170502,2,3,0
284,20170502,2,3,0
285,20170502,2,3,0
286,20170502,2,3,0
287,20170502,20,3,0
288,20170502,4,3,0
289,20170502,7,3,0
290,20170502,2,3,0
291,20170502,1,3,0
292,20170502,1,3,0
293,20170502,1,3,0
294,20170502,1,3,0
295,20170502,2,3,0
296,20170502,5,3,0
297,20170502,2,3,0
298,20170502,1,3,0
299,20170502,5,3,0
300,20170502,1,3,0
301,20170502,1,3,0
302,20170502,2,3,0
303,20170502,2,3,0
304,20170502,3,3,0
305,20170502,17,3,0
306,20170502,2,3,0
307,20170502,1,3,0
308,20170502,2,3,0
309,20170502,1,3,0
310,20170502,1,3,0
311,20170502,2,3,0
312,20170502,2,3,0
313,20170502,2,3,0
314,20170502,5,3,0
315,20170502,1,3,0
316,20170502,2,3,0
317,20170502,1,3,0
318,20170502,5,3,0
319,20170502,1,3,0
320,20170502,1,3,0
321,20170502,1,3,0
322,20170502,1,3,0
323,20170502,1,3,0
324,20170502,11,3,0
325,20170502,1,3,0
326,20170502,4,3,0
327,20170502,2,3,0
328,20170502,1,3,0
329,20170502,1,3,0
330,20170502,2,3,0
331,20170502,5,3,0
332,20170502,1,3,0
333,20170502,2,3,0
334,20170502,1,3,0
335,20170502,6,3,0
336,20170502,3,3,0
337,20170502,1,3,0
338,20170502,1,3,0
339,20170502,1,3,0
340,20170502,1,3,1
341,20170502,1,3,0
342,20170502,1,3,0
343,20170502,22,3,0
344,20170502,2,3,1
345,20170502,1,3,1
346,20170502,2,3,1
347,20170502,2,3,0
348,20170502,1,3,1
349,20170502,2,3,0
350,20170502,14,3,0
351,20170502,1,3,1
352,20170502,1,3,0
353,20170502,1,3,0
354,20170502,2,3,0
355,20170502,2,3,0
356,20170502,2,3,0
357,20170502,1,3,0
358,20170502,2,3,0
359,20170502,1,3,0
360,20170502,3,3,1
361,20170502,4,3,0
362,20170502,23,3,0
363,20170502,1,3,1
364,20170502,3,3,1
365,20170502,1,3,0
366,20170502,2,3,0
367,20170502,5,3,0
368,20170502,2,3,0
369,20170502,2,3,0
370,20170502,4,3,1
371,20170502,1,3,1
